Class,Method Name,Arg/Ret/Var,Variable Name,Inferred Type,Original Type,Exact (E) / Up to Parameter (P) / Got Type (T) / None (N),Solution Source,Source Code
TZInfo::CountryTimezone,initialize,Arg,identifier,TZInfo::TimezoneOffset,String,T,Twin,"def initialize(identifier, latitude, longitude, description = nil)
      @identifier = identifier.freeze
      @latitude = latitude
      @longitude = longitude
      @description = description && description.freeze
    end"
TZInfo::CountryTimezone,initialize,Arg,latitude,Number,Number,E,Constraints,"def initialize(identifier, latitude, longitude, description = nil)
      @identifier = identifier.freeze
      @latitude = latitude
      @longitude = longitude
      @description = description && description.freeze
    end"
TZInfo::CountryTimezone,initialize,Arg,longitude,Number,Number,E,Constraints,"def initialize(identifier, latitude, longitude, description = nil)
      @identifier = identifier.freeze
      @latitude = latitude
      @longitude = longitude
      @description = description && description.freeze
    end"
TZInfo::CountryTimezone,initialize,Arg,description,?TZInfo::TimezoneOffset,String,T,Constraints,"def initialize(identifier, latitude, longitude, description = nil)
      @identifier = identifier.freeze
      @latitude = latitude
      @longitude = longitude
      @description = description && description.freeze
    end"
TZInfo::CountryTimezone,initialize,Ret,"",self,self,E,,"def initialize(identifier, latitude, longitude, description = nil)
      @identifier = identifier.freeze
      @latitude = latitude
      @longitude = longitude
      @description = description && description.freeze
    end"
TZInfo::CountryTimezone,timezone,Ret,"",TZInfo::TimezoneProxy,Timezone,E,Constraints,"def timezone
      Timezone.get_proxy(@identifier)
    end"
TZInfo::CountryTimezone,description_or_friendly_identifier,Ret,"",String,String,E,Constraints,"def description_or_friendly_identifier
      description || timezone.friendly_identifier(true)
    end"
TZInfo::CountryTimezone,==,Arg,ct,([ description: () -> { { TZInfo::CountryTimezone#== arg: ct }#description call_ret: ret } ] and [ identifier: () -> { { TZInfo::CountryTimezone#== arg: ct }#identifier call_ret: ret } ] and [ kind_of?: (Class) -> { { TZInfo::CountryTimezone#== arg: ct }#kind_of? call_ret: ret } ] and [ latitude: () -> { { TZInfo::CountryTimezone#== arg: ct }#latitude call_ret: ret } ] and [ longitude: () -> { { TZInfo::CountryTimezone#== arg: ct }#longitude call_ret: ret } ]),Object,TS,Constraints,"def ==(ct)
      ct.kind_of?(CountryTimezone) &&
        identifier == ct.identifier  && latitude == ct.latitude &&
        longitude == ct.longitude   && description == ct.description
    end"
TZInfo::CountryTimezone,==,Ret,"",(false or true),(false or true),E,Constraints,"def ==(ct)
      ct.kind_of?(CountryTimezone) &&
        identifier == ct.identifier  && latitude == ct.latitude &&
        longitude == ct.longitude   && description == ct.description
    end"
TZInfo::CountryTimezone,eql?,Arg,ct,([ description: () -> { { TZInfo::CountryTimezone#== arg: ct }#description call_ret: ret } ] and [ identifier: () -> { { TZInfo::CountryTimezone#== arg: ct }#identifier call_ret: ret } ] and [ kind_of?: (Class) -> { { TZInfo::CountryTimezone#== arg: ct }#kind_of? call_ret: ret } ] and [ latitude: () -> { { TZInfo::CountryTimezone#== arg: ct }#latitude call_ret: ret } ] and [ longitude: () -> { { TZInfo::CountryTimezone#== arg: ct }#longitude call_ret: ret } ]),Object,TS,Constraints,"def eql?(ct)
      self == ct
    end"
TZInfo::CountryTimezone,eql?,Ret,"",(false or true),(false or true),E,Constraints,"def eql?(ct)
      self == ct
    end"
TZInfo::CountryTimezone,hash,Ret,"",Number,Number,E,Constraints,"def hash
      [@identifier, @latitude, @longitude, @description].hash
    end"
